encoder,short,n_samples,mae_dex,median_ae_dex,rmse_dex,bias_dex,scatter_dex,correlation
"RNN-pooled (BiDirectionalMinGRU, multiscale)",rnn_pooled,2470,0.13883424208557996,0.045529735692813045,0.3262414765739154,-0.00670364390243988,0.3261725957151487,0.9119308085528939
"MLP-pooled (local-window, k∈{1,8,64,720}, mean+std)",mlp_pooled,2495,0.2254881317325036,0.0718089962597892,0.4378093335004776,0.012595306792987825,0.4376281192370104,0.8476204991975913
