TIC_ID,GaiaDR3_ID,Tmag,parallax,parallax_error,G0,G0_err,BP0,BP0_err,RP0,RP0_err,BPRP0,BPRP0_err
237356930,4828528063821835648,7.6042,20.36385961234484,0.015031335,8.040101,0.010002955816868341,8.353216,0.010026534010499664,7.556435,0.010010509928443994,0.79678106,0.014168334174883872
141411201,4650314511916109696,6.1492,26.288082390540485,0.016955826,6.559264,0.010002475922394921,6.845764,0.010060184974831398,6.1027393,0.010034838474992588,0.7430248,0.014209338652696506
333800257,602348482997667840,12.9673,2.201148806781372,0.016352879,13.419246243355861,0.010169944910307796,13.78265033566866,0.010288065480250614,12.891660288132575,0.010102231330425976,0.8909899475360846,0.01441871593379121
309792357,4762582895440787712,10.0391,9.838006921764073,0.010506975,10.577960167837395,0.010003937307334766,11.018243726455093,0.010023971005942071,9.981621845191668,0.0100135369319978,1.0366220812634275,0.014168659661959956
429302040,3578638842054261248,10.418,15.554811300592808,0.025979195,11.183329,0.010005073478538408,11.901632,0.010014831166868953,10.36105,0.010005148984120133,1.5405827,0.014156265379517644
281541545,4919770108539385472,13.7813,3.1143172729862485,0.018597687,14.516269479167839,0.010083844163894903,15.242303547688435,0.01023445438713185,13.692633114359769,0.010078616869799275,1.5496697333286662,0.014363933117725273
82308728,3997075206232885888,6.9859,46.411875943252845,0.022130016,7.526765,0.010003148133187954,7.9503927,0.010061056682172715,6.934046,0.01006378204020645,1.0163469,0.014230410061367667
5078530,4021079911593673600,7.9003,38.715781842316645,0.023629276,8.577943,0.010000994897639528,9.173829,0.010011019271023654,7.843049,0.010005829315632812,1.33078,0.014154049849367635
423610130,2439890557725244800,13.7731,3.417350309550101,0.028539684,14.536665147915073,0.01025324013221674,15.31935305856895,0.010651480768962543,13.677931593310491,0.010194010254155117,1.64142146525846,0.014743537147964138
267669725,2129492824571882240,15.0254,1.1916967254637756,0.02584842,15.559778852579239,0.010949114427726135,16.039656972477054,0.011876976614224842,14.92423519539819,0.010649823329584846,1.115421477078866,0.015952470355597388
270786157,2078399790542181376,14.1824,1.0722667849249106,0.016055577,14.55308570251298,0.010869242346904272,14.89442382372371,0.01142166683003562,14.045813250671921,0.010534857894065686,0.8486108730517884,0.015538265798489033
122712179,2101525749889208576,13.8791,3.92459490690892,0.016779719,14.64578385975156,0.010278204011218182,15.426510202117951,0.010592059722693678,13.782517749548376,0.010183757293384277,1.6439927525695746,0.014693557832590005
437038987,604909657895767680,13.1954,1.2166583389480798,0.01894566,13.514660426597935,0.010092334537667473,13.789406724272663,0.010181572046042149,13.08195238183293,0.010064315908742629,0.7074551924397301,0.014316244760401274
2521105,3620030644476623616,12.3164,5.516338141742446,0.019512653,12.985720548934667,0.01013685868161719,13.624700621080528,0.010380803610368984,12.223392772271888,0.010119363938370885,1.401307948808641,0.014496986242466082
51641442,3680103286893920768,14.2591,6.765735294058103,0.0400665,15.379153311723526,0.010105586323461318,16.63154020956524,0.010667802218868257,14.273181320792341,0.010159443575750122,2.3583586887728973,0.01473147304072953
159098652,2126903680847794048,14.83,1.3084515392924736,0.02201203,15.369957649367906,0.010156745088256742,15.846750280946317,0.010343505707990315,14.738477143190996,0.01020755979304195,1.1082736377553177,0.0145321157186335
139104940,2076166029596100224,14.5855,0.6259080484286768,0.019599805,14.764601965773165,0.01971455212501055,15.0349727873317,0.023851946438839863,14.321087964309752,0.016226157701413134,0.7138851730219484,0.02884793827420626
