Source,RA_ICRS,DE_ICRS,rgeo,b_rgeo,B_rgeo,rpgeo,b_rpgeo,B_rpgeo,Flag
4130539180358512768,252.42600550294,-19.543057889,155.871796,155.482651,156.209473,155.877716,155.43071,156.244186,10033
3864142669886768896,163.25190397354,5.30647257626,107.874779,107.018921,108.664963,107.471321,106.746231,108.132698,10033
3856449627544923392,156.40550592568,2.51386780181,76.8284912,76.6994553,76.9480972,76.8403244,76.7113647,76.9684143,10033
3860369901894562304,156.62269587246,4.76401988753,122.904198,122.650391,123.108047,122.889435,122.654556,123.133484,10033
3859431674878660864,159.42098583827,6.28586645913,116.910744,116.694595,117.189171,116.94101,116.682251,117.156357,10033
3862378262961788288,157.62221472825,6.86367246787,136.679108,136.098236,137.396744,136.731201,135.959793,137.265152,10033
2439222638771000448,353.91695043661,-7.68672709834,111.530655,110.751572,112.263878,111.301178,110.600441,112.104263,10033
2645727449501559680,351.61226509125,1.33759150693,281.883484,279.13504,284.399841,281.748291,279.676605,283.945129,10033
2632880927441296640,351.1353804938,-5.1641469268,231.885757,231.334259,232.490677,231.615356,230.997391,232.291245,10033
6245758900889486720,242.56136207747,-19.31938640281,137.883392,137.389038,138.289703,137.877289,137.451767,138.368607,10033
601159910928534144,126.89682301804,11.66741123373,157.967209,157.410904,158.573334,157.882385,157.415726,158.290451,10033
608206676654888064,132.73764227118,13.17026626573,206.748489,205.932129,207.742371,206.694016,205.805099,207.618301,10033
607158571490718208,135.8832643918,14.2504979137,124.16304,123.324287,124.961166,124.084183,123.273582,124.784134,10033
607345660265955456,136.7892743144,15.20567509377,346.371674,344.370117,348.708099,346.42981,344.31015,348.411499,10033
610858393758591104,136.48942457482,16.32551335815,374.248901,369.945435,377.447388,374.91275,370.974152,378.511322,10033
658060049982487040,129.38966687105,16.52206365945,523.952637,520.885437,527.780945,523.901794,520.423645,527.830505,10033
611580390645372672,133.83820783535,16.79406265923,236.383972,235.608307,237.515717,236.483978,235.501022,237.460037,10033
658978451430055936,127.76113597634,16.90046691178,423.34964,420.764832,425.640472,423.741272,421.135132,427.053253,10033
656201703533465088,124.36092449796,17.02414900401,157.909973,157.590561,158.202316,157.873718,157.392273,158.243973,10033
659493675706526848,130.08254173978,18.69290421513,360.022491,356.69574,363.576141,358.828308,355.753906,362.754486,10033
665757593450097920,127.57872099903,22.23591964275,342.317566,338.691193,345.719299,342.197327,338.537598,345.199066,10033
662705555330268928,127.93734059683,19.07458361552,701.802063,691.091187,713.627075,700.855591,690.537964,711.471558,10033
661398407803108736,130.49719305107,19.91663647329,414.427704,411.830078,416.772125,413.868103,411.407715,416.841644,10033
685749360542215296,133.12190591587,21.23867107114,210.387619,209.65033,211.241989,210.519409,209.701828,211.62735,10033
685818492336147072,134.20217291538,21.50268865603,165.879837,165.081696,166.853394,166.227524,165.393677,166.989487,10033
685235991691684352,136.36149453559,21.66858510092,75.401268,75.3182449,75.4966202,75.3939743,75.3143692,75.4822159,10033
685979983106267136,132.70757917494,21.78903401548,160.372391,159.829468,160.973694,160.343811,159.736938,160.930878,10033
677884760027950080,125.98646635338,22.66323207416,105.222023,105.045464,105.400505,105.268036,105.088043,105.417206,10033
678119333962115072,126.37267420115,23.29740705163,315.680389,313.77298,317.683716,314.898682,312.771515,316.97644,10033
690310993768911104,130.87834807559,24.4229511541,200.314972,199.7827,200.915924,200.377289,199.586868,200.883881,10033
3608708904525885440,199.09965262663,-14.44474918225,449.177795,444.92038,453.760345,449.18338,445.338745,452.364136,10033
3810609819552494976,170.10310335573,1.28586518686,252.498901,251.414154,253.697067,252.670868,251.555206,253.896149,10033
3606709167752821632,204.03550653982,-14.00925238761,475.597504,471.4375,479.919769,475.745148,471.950012,479.856934,10033
3613442989278322432,206.65223846104,-11.80495869616,650.712341,641.322266,660.971313,652.210144,642.526733,661.599365,10033
632634358985725184,140.44514679342,18.46963088082,176.866821,176.117264,177.647858,177.292252,176.448898,178.210175,10033
3638010855046147200,201.61685100984,-2.28190235863,267.102142,265.751831,268.248688,266.926392,265.646423,268.282379,10033
601314254872894080,129.12991937474,10.14721518308,90.5021439,90.2946625,90.7150497,90.5383224,90.3044281,90.7919464,10033
650463970824290816,124.64261822235,13.50278030812,487.99292,483.718567,492.322906,488.308014,484.138336,493.340607,10033
651370037123678080,128.3219150746,13.66137273067,354.459015,352.444794,357.016876,354.419983,352.468872,356.423309,10033
610181468257262464,131.93866153699,16.32891391785,506.388275,500.796326,511.743896,506.285309,502.138275,510.861755,10033
660400738439361280,133.80810230076,18.94972460237,466.795776,462.918152,471.442291,466.660248,463.175995,470.481323,10033
3811989156889528320,169.44900733727,3.86650752286,108.706902,108.507256,108.896805,108.724724,108.476593,108.936028,10033
6246622017519183616,238.81970446431,-21.02697196801,186.22197,185.462524,186.814545,186.217728,185.504486,187.048767,10033
6245607576304205952,243.68009064726,-19.34689311125,190.937347,190.374329,191.424393,190.944107,190.385986,191.621552,10033
2601048588348190976,337.85884336586,-13.26444969314,177.393463,176.940674,177.946564,177.388809,176.875305,177.779694,10033
2613924969021549440,332.63576541637,-11.166113317,205.84108,205.296066,206.500488,205.747116,205.076401,206.460449,10033
2616766622463761024,329.72625870932,-10.87506652989,189.139435,188.420029,189.884155,189.19104,188.452301,189.854828,10033
6049595065740634624,243.450964454,-24.78705235865,177.548538,177.069778,178.033051,177.214844,176.763855,177.748062,10033
144150720342734208,67.82052519171,19.83168638914,140.182449,139.721542,140.548935,140.395294,140.013626,140.846741,10033
602466302541172736,128.06709183064,11.63070963495,438.727386,434.550262,443.79483,438.171265,434.797241,442.008759,10033
602348482997667840,130.79887274779,13.00941709208,454.164215,450.351532,457.989807,453.402649,450.444702,456.592377,10033
650623262571412480,123.136152295,13.68849982566,226.340347,225.723602,227.06041,226.475967,225.55809,227.288208,10033
607937055787752576,137.37949847708,16.35583033833,360.441406,358.481598,362.394409,360.606689,358.726929,362.201141,10033
661453074146753152,130.50131289489,20.35930014355,680.544373,671.199463,690.315369,679.225586,670.424622,689.76239,10033
690025807939789184,132.71932193205,25.03808133951,160.241669,159.786743,160.652481,160.242783,159.75885,160.799545,10033
3610557458450018944,202.89787319262,-12.09511464569,195.015182,194.108551,195.823349,194.924652,194.428864,195.599274,10033
3616517223789495424,205.15965629049,-11.11723750018,657.969421,643.98822,674.521851,657.565857,641.181763,672.14032,10033
4072055435329128576,283.03176369366,-27.18073470901,182.830124,182.133286,183.502121,182.711288,182.227356,183.320297,10033
6237129658760381056,240.03330077926,-23.18942480777,189.512054,188.6073,190.339645,189.268097,188.326996,190.088974,10033
4073600356552513280,283.43463818032,-26.53873497894,249.236099,248.260803,250.286423,249.279404,248.220856,250.252777,10033
4081376064109034496,288.02675599441,-21.00757701537,145.553787,145.31076,145.821152,145.4832,145.182251,145.802155,10033
4083952670840373504,287.41252548999,-19.62693356721,287.966705,285.801514,290.114502,288.655853,286.980225,290.038422,10033
4098446119569242752,282.00876684607,-18.37958873151,201.38533,200.819,201.867966,201.46228,200.996033,201.904907,10033
2535107508776249856,20.49985465797,0.75096188485,81.5296097,81.249588,81.7805557,81.4311371,81.0944519,81.7461853,10033
2552976943549668352,12.6140843323,5.87125334164,401.766815,398.150726,405.415497,402.354736,397.827759,405.804688,10033
2576755978444329216,18.29999525081,7.01302903498,421.80072,419.110046,424.21701,420.922119,417.738892,423.167725,10033
2580505553613124992,19.44182847647,11.36848878685,267.439911,264.569763,270.06076,268.094086,264.680573,271.466888,10033
2433621314222365312,352.71393427762,-11.07735968087,299.36853,297.588043,301.289185,299.545013,298.211121,301.259216,10033
2435647095676990592,355.63042580826,-9.71358276203,260.416779,258.998444,261.510559,260.279327,258.958496,261.754761,10033
2609222216055014144,338.36820372599,-9.02294603015,305.691132,304.385193,307.068573,305.211029,304.005859,306.704041,10033
2435650050614494336,355.70238978623,-9.58871664986,451.283356,448.914154,453.627014,451.1409,447.946106,454.761078,10033
2439325924144650368,356.22601617373,-7.70151426564,510.952881,506.845184,514.672913,511.070923,507.436554,515.055603,10033
2439238852271933568,354.64991048882,-7.4788823513,391.617493,388.511749,394.163727,391.010376,387.870392,394.063354,10033
2651117427299894656,348.51591217572,-0.08210030331,262.272614,261.354492,263.387573,262.241608,261.363403,263.281036,10033
3406132644545570432,71.11000770412,16.51857858681,97.5752106,97.3804245,97.7113876,97.5667496,97.4171906,97.7164841,10033
3310124801036651008,70.44386869117,16.67433826208,285.866364,283.830994,287.800385,286.239532,283.974487,287.874176,10033
3405720400701167104,74.69286069396,17.26905071305,272.842834,271.753479,273.899567,272.907684,271.59375,274.098114,10033
3414370975935397888,79.951662187,21.2591605197,197.841965,196.997299,198.550461,197.878479,197.078537,198.629807,10033
3809028584392561408,161.73497062017,1.93670437731,595.871826,588.180298,602.370056,594.355225,589.031067,601.532471,10033
3792100950048409344,174.74553585766,-3.90557477674,231.087875,229.717178,232.608963,231.079956,230.005646,232.888901,10033
3859918999047978240,154.51102100274,3.69693174567,62.5476685,62.4798164,62.6320267,62.5124969,62.4296188,62.6053009,10033
