GaiaDR3_ID,st_age,st_ageerr1,st_ageerr2,st_ageerr,st_age_norm,st_ageerr_norm
1003351437484254464,11.48,1.93,-4.67,3.3,3.011528724755962,1.3658678940101043
1008018211509401728,1.35,0.18,-0.18,0.18,-1.1812718104932376,0.07450188512782388
101040381244467968,0.69,0.2,-0.2,0.2,-1.4544453892952585,0.08277987236424876
1011435012611767552,3.1,0.9,-0.7,0.8,-0.45694792730606093,0.33111948945699504
1022456104850892928,4.0,3.0,-3.0,3.0,-0.08443850166694158,1.2416980854637314
1023492257121204352,2.4,1.8,-1.8,1.8,-0.7466774805809316,0.7450188512782389
1023967108706495360,9.7,3.9,-2.7,3.3,2.274787860714148,1.3658678940101043
1044013542142711296,8.0,4.1,-4.8,4.449999999999999,1.5711589456180335,1.8418521601045346
1048109222955337600,7.5,4.5,-4.5,4.5,1.3642092647074116,1.862547128195597
105332908999068032,6.39,1.94,-1.94,1.94,0.9047809730858309,0.8029647619332129
1053809778428567680,6.7,5.1,-5.2,5.15,1.0330897752504167,2.1315817133794055
1070387905514406400,5.3,4.7,-4.7,4.7,0.45363066870067525,1.9453270005598458
1074139748425931008,4.9,2.3,-2.1,2.2,0.288070923972178,0.9105785960067364
1076515002779544960,8.3,2.1,-2.1,2.1,1.6953287541644069,0.869188659824612
1076970406751899008,1.98,0.95,-0.79,0.87,-0.920515212545854,0.3600924447844821
1092230803512999424,4.604,2.0,-2.0,2.0,0.16555671287308968,0.8277987236424875
1094545653447816064,7.1,4.6,-4.6,4.6,1.198649519978914,1.9039370643777211
1095822117729707264,1.8,0.5,-0.5,0.5,-0.995017097673678,0.20694968091062188
1101653957463314688,3.6,1.8,-1.4,1.6,-0.24999824639543908,0.6622389789139901
1104269596843209472,4.3,3.5,-2.6,3.05,0.03973130687943147,1.2623930535547934
1111639314047794944,4.8,2.1,-2.1,2.1,0.24668098779005337,0.869188659824612
1114308481603347584,1.88,0.9,-0.2,0.55,-0.9619051487279785,0.2276446490016841
1116613161053977472,1.5,1.6,-1.0,1.3,-1.119186906220051,0.5380691703676169
1117620107545810944,5.6,2.7,-1.5,2.1,0.5778004772470483,0.869188659824612
1126422935076082176,4.0,,,,-0.08443850166694158,
114340658009875072,2.69,0.81,-1.14,0.975,-0.6266466656527709,0.40355187777571266
117190351631297152,4.2,2.3,-0.8,1.5499999999999998,-0.0016586293026927598,0.6415440108229278
1176209886733406592,0.96,,,,-1.3426925616035228,
1193071962699902336,7.1,4.2,-4.2,4.2,1.198649519978914,1.738377319649224
1200751810900182400,7.8,5.0,-5.0,5.0,1.4883790732537847,2.069496809106219
1220404653534258816,1.74,0.37,-0.37,0.37,-1.0198510593829524,0.1531427638738602
12320268307415552,1.1,0.6,-0.6,0.6,-1.2847466509485486,0.24833961709274627
1247603719345703808,8.2,3.5,-4.0,3.75,1.653938817982282,1.552122606829664
1255520718461480960,7.5,2.8,-2.5,2.65,1.3642092647074116,1.096833308826296
1265513389372846848,1.02,0.62,-0.62,0.62,-1.317858599894248,0.25661760432917113
1270814787767025408,5.5,0.5,-0.5,0.5,0.536410541064924,0.20694968091062188
128623485853170432,9.4,4.1,-4.1,4.1,2.150618052167775,1.6969873834670994
1291955578869575552,2.9,2.2,-2.2,2.2,-0.5397277996703098,0.9105785960067364
129321160344480512,8.4,0.6,-0.6,0.6,1.7367186903465313,0.24833961709274627
1319243773843954304,0.3,,,,-1.6158661404055437,
1323427759184545536,10.2,0.5,-0.5,0.5,2.4817375416247693,0.20694968091062188
1334288219648212352,4.7,1.7,-1.5,1.6,0.20529105160792913,0.6622389789139901
1334573817793362560,12.4,4.4,-6.4,5.4,3.3923161376315067,2.2350565538347165
1334643739861016832,10.7,,,,2.6886872225353913,
1344163891352965632,1.6,0.2,-0.1,0.15000000000000002,-1.0777969700379266,0.062084904273186574
1358355738906114816,3.6,4.0,-2.7,3.35,-0.24999824639543908,1.3865628621011667
1358614983131339392,1.46,0.29,-0.26,0.275,-1.1357428806929009,0.11382232450084205
1363205856494897024,7.2,2.8,-4.0,3.4,1.2400394561610386,1.4072578301922287
1372215976327300480,7.1,4.1,-4.9,4.5,1.198649519978914,1.862547128195597
1380293091823646720,5.0,4.0,-2.0,3.0,0.3294608601543022,1.2416980854637314
1380825667768742144,1.44,0.47,-0.47,0.47,-1.1440208679293258,0.19453270005598455
1401760747118886016,9.6,6.6,-6.3,6.449999999999999,2.2333979245320235,2.669650883747022
1402405129651594624,6.4,0.6,-1.9,1.25,0.9089199667040436,0.5173742022765547
1404488390652463872,0.3,0.05,-0.05,0.05,-1.6158661404055437,0.02069496809106219
1411414596649598208,0.321,0.096,-0.096,0.096,-1.6071742538072973,0.039734338734839406
1411707818360668416,0.6,0.2,-0.2,0.2,-1.4916963318591705,0.08277987236424876
1416731285125373184,2.95,0.229,-0.229,0.229,-0.5190328315792475,0.09478295385706483
1420011162670761600,7.2,4.6,-5.1,4.85,1.2400394561610386,2.0074119048330323
1424011082893734272,2.29,6.8,-1.51,4.155,-0.7922064103812685,1.719751848367268
1428639816392087552,3.2,0.7,-0.3,0.5,-0.41555799112393654,0.20694968091062188
1428639816392087552,6.6,1.8,-1.8,1.8,0.9916998390682921,0.7450188512782389
1433062331332673792,12.0,1.1,-3.8,2.45,3.2267563929030088,1.0140534364620473
1438038102484626048,1.1,0.04,-0.04,0.04,-1.2847466509485486,0.01655597447284975
1438888501713397760,5.5,3.0,-2.7,2.85,0.536410541064924,1.1796131811905448
1443530266145475840,6.0,0.8,-1.7,1.25,0.743360221975546,0.5173742022765547
145196252820109440,0.0033,0.0009,-0.0009,0.0009,-1.7386700810579065,0.0003725094256391194
1457486023639239296,6.8,4.6,-4.5,4.55,1.0744797114325408,1.8832420962866592
145916050683920128,0.65,0.07,-0.07,0.07,-1.4710013637681083,0.028972955327487067
1460876573902483328,3.24,1.2,-1.2,1.2,-0.39900201665108675,0.49667923418549254
1464700950221781504,4.9,0.66,-0.46,0.56,0.288070923972178,0.23178364261989653
146487556211644544,0.001,,,,-1.7396220495900954,
1476485996883837184,2.1,3.4,-1.5,2.45,-0.8708472891273047,1.0140534364620473
147831571737487488,0.0022,,,,-1.73912537035591,
1490845584382687232,0.21,0.02,-0.02,0.02,-1.6531170829694555,0.008277987236424875
1490845584382687232,0.338,0.077,-0.081,0.079,-1.6001379646563363,0.03269804958387826
1490845584382687232,2.7,3.6,-1.9,2.75,-0.6225076720345585,1.1382232450084204
1491634483976350720,6.9,0.1,-0.1,0.1,1.1158696476146654,0.04138993618212438
149629483705467008,0.001,,,,-1.7396220495900954,
1497132660589966976,3.1,1.9,-1.7,1.7999999999999998,-0.45694792730606093,0.7450188512782387
1499514786891168640,2.5,2.0,-2.0,2.0,-0.7052875443988073,0.8277987236424875
150054788545735424,2.6,1.2,-1.2,1.2,-0.6638976082166829,0.49667923418549254
1506159170017461888,7.5,3.6,-3.6,3.6,1.3642092647074116,1.4900377025564777
151374202498079872,0.001,,,,-1.7396220495900954,
151499478104075008,0.0025,0.0004,-0.0004,0.0004,-1.7390012005473634,0.00016555974472849753
1530780980576364032,5.45,2.06,-2.06,2.06,0.515715572973862,0.8526326853517622
1545570133528453888,7.2,4.4,-4.5,4.45,1.2400394561610386,1.841852160104535
1552562615159689088,10.8,1.5,-1.5,1.5,2.7300771587175166,0.6208490427318657
1556242405699527424,1.1,1.6,-0.8,1.2000000000000002,-1.2847466509485486,0.4966792341854926
1560420854826284928,4.73,0.39,-0.39,0.39,0.21770803246256654,0.1614207511102851
1560676770454324224,4.5,,,,0.1225111792436803,
1562935820172427392,5.7,2.3,-1.8,2.05,0.6191904134291729,0.8484936917335497
156917493449670656,0.003,0.002,-0.002,0.002,-1.738794250866453,0.0008277987236424875
1574358783911530624,4.2,2.5,-2.2,2.35,-0.0016586293026927598,0.9726635002799229
1579929906250111232,0.1,0.05,-0.05,0.05,-1.6986460127697924,0.02069496809106219
1581657479535392256,7.0,4.6,-5.0,4.8,1.1572595837967898,1.9867169367419701
1581799694493008384,4.0,1.9,-1.7,1.7999999999999998,-0.08443850166694158,0.7450188512782387
1585783740516554624,3.8,1.5,-1.3,1.4,-0.16721837403119041,0.5794591065497413
1587399232335653760,6.2,1.6,-3.8,2.7,0.8261400943397949,1.1175282769173582
1610837178107032192,1.4,0.3,-0.3,0.3,-1.1605768424021754,0.12416980854637313
1611685004650291840,3.1,1.6,-1.6,1.6,-0.45694792730606093,0.6622389789139901
1612165353793791488,1.9,0.2,-0.2,0.2,-0.9536271614915536,0.08277987236424876
1614731957531452544,2.65,0.74,-0.74,0.74,-0.6432026401256208,0.3062855277477204
1616054670018575872,3.4,1.5,-1.2,1.35,-0.3327781187596879,0.5587641384586791
1620024491110370688,0.133,0.026,-0.026,0.026,-1.6849873338296912,0.010761383407352337
1629404184289170688,9.0,1.4,-1.4,1.4,1.9850583074392774,0.5794591065497413
1630385635856016256,5.9,2.4,-2.3,2.3499999999999996,0.7019702857934217,0.9726635002799228
1630906044157332224,1.3,0.3,-0.3,0.3,-1.2019667785842998,0.12416980854637313
1631416599805196544,2.3,2.8,-1.6,2.2,-0.7880674167630561,0.9105785960067364
1635108588053258752,3.1,2.3,-1.8,2.05,-0.45694792730606093,0.8484936917335497
1636690613486307840,2.0,0.3,-0.3,0.3,-0.9122372253094292,0.12416980854637313
1643587094013359360,4.6,1.6,-0.7,1.15,0.16390111542580454,0.4759842660944303
1644692064543192704,6.4,3.5,-3.2,3.35,0.9089199667040436,1.3865628621011667
1647136729864424576,4.3,1.7,-0.6,1.15,0.03973130687943147,0.4759842660944303
164800235906366976,0.0033,0.0006,-0.0005,0.0005499999999999999,-1.7386700810579065,0.00022764464900168404
1650110904522335744,6.3,3.6,-3.2,3.4000000000000004,0.867530030521919,1.407257830192229
1650851223740149504,7.1,0.6,-0.7,0.6499999999999999,1.198649519978914,0.2690345851838084
1651268763282397312,3.3,1.0,-1.0,1.0,-0.3741680549418123,0.41389936182124376
1651807592698185728,9.7,2.8,-4.0,3.4,2.274787860714148,1.4072578301922287
1651818622174190208,3.9,1.5,-1.3,1.4,-0.125828437849066,0.5794591065497413
1651911084230149248,2.53,0.43,-0.43,0.43,-0.69287056354417,0.17797672558313482
1652137995942479744,7.5,4.4,-5.1,4.75,1.3642092647074116,1.966021968650908
1654516686269888896,4.9,1.1,-1.1,1.1,0.288070923972178,0.4552892980033682
1656835487573730048,4.5,4.6,-3.1,3.8499999999999996,0.1225111792436803,1.5935125430117885
1675511792082576384,2.5,2.5,-1.6,2.05,-0.7052875443988073,0.8484936917335497
1675923009431370880,0.245,0.135,-0.135,0.135,-1.638630605305712,0.05587641384586792
1676299557803904000,6.3,6.3,-4.4,5.35,0.867530030521919,2.2143615857436543
