Gaiadr3_id,source_id,ra,ra_error,dec,dec_error,parallax,parallax_error,bp_rp,phot_g_mean_mag,azero_gspphot,ag_gspphot,ebpminrp_gspphot,teff_gspphot,phot_bp_mean_mag,phot_rp_mean_mag,phot_g_mean_flux,phot_g_mean_flux_error,phot_bp_mean_flux,phot_bp_mean_flux_error,phot_rp_mean_flux,phot_rp_mean_flux_error,pm,pmra,pmra_error,pmdec,pmdec_error,radial_velocity,radial_velocity_error,ruwe,nu_eff_used_in_astrometry,pseudocolour,ecl_lat,astrometric_params_solved
5977270148650362112,5977270148650362112,257.36067128624614,0.01459171,-35.39173163357367,0.006922038,26.09134645742177,0.01736638,1.6009026,10.157372,,,,,10.9131,9.312198,1629288.1923458676,493.5787,589083.3409373779,421.2342,1493753.9067174715,797.12146,102.193985,-46.710570474785726,0.023436293,-90.8940770681136,0.014033751,-14.793292,0.15863357,0.807225,1.4015394,,-12.413063450960033,31
4933912198895807104,4933912198895807104,20.438405595615816,0.016593406,-46.71473451693094,0.018711528,44.53483319805842,0.026703948,2.1645555,10.556652,,,,,11.669821,9.505265,1127939.3137289763,429.0217,293419.32949924754,402.43005,1250408.8708218555,1023.94183,136.87027,-111.08929387948497,0.019765733,-79.95397168145395,0.024801895,16.533459,0.2081406,1.1425465,,1.3199615,-49.7397751352663,95
4083840142695803520,4083840142695803520,289.2024020692055,0.19325621,-19.355923173247913,0.15602101,2.2789026014643397,0.20766929,0.7093954,12.709743,0.2038,0.1762,0.0953,6345.2573,12.9326,12.223205,155256.4655641999,283.21875,91701.60504008102,84.10163,102300.1378556251,61.90958,4.55475,1.4891079425041391,0.2265095,-4.304451968944376,0.17691089,-18.599215,4.660486,13.09452,1.582971,,2.884761087952252,31
2089570519439964416,2089570519439964416,300.61549185195605,0.010380702,53.377461920231646,0.012072157,24.24558412297306,0.012094641,1.0717239,8.953323,0.0,0.0,0.0,4973.8477,9.406647,8.334923,4938752.239948647,1710.379,2359164.2961569447,2651.9707,3674422.125242418,2269.8257,219.81064,165.04977785590728,0.014630575,145.1732966832647,0.015212359,-27.328829,0.13056679,0.96585155,1.4995786,,70.14722277140602,31
2099219867845754752,2099219867845754752,286.891999783051,0.013538851,38.31850234469541,0.01614438,1.026151920867535,0.017370809,0.8656378,14.555374,0.1946,0.163,0.0875,5780.965,14.903213,14.037575,28365.92233087468,7.1949778,14932.48010138194,15.743532,19236.603954745882,15.09253,8.062076,1.121906690919216,0.016707188,-7.98363208149709,0.018067239,2.7110088,4.60725,1.0142484,1.5450572,,60.16823275131864,31
2132127666747169024,2132127666747169024,285.1427137767296,0.02110205,49.80065673051298,0.023742901,1.3312954010373077,0.023082599,1.1137524,15.210392,0.0609,0.0484,0.0254,4950.3823,15.688693,14.574941,15516.36498443434,4.2537923,7243.353151721418,18.5925,11726.868279180218,15.765453,11.635697,11.555531284066532,0.029228717,1.3635081274376049,0.02947364,,,1.0355998,1.4878309,,71.55106263519109,31
2081880913079644288,2081880913079644288,301.2786849471703,0.022412835,44.25051078880531,0.025093373,0.6687702905473578,0.027363393,1.0213842,15.8279505,0.2278,0.1858,0.1001,5288.4404,16.257887,15.236503,8785.504829785952,3.9093037,4288.074896772151,10.648584,6376.127954510847,10.651956,6.0576663,-1.4619407350961546,0.030144082,-5.878609666662541,0.030610848,,,0.9901182,1.511789,,62.09547230798815,31
2104797381093952256,2104797381093952256,282.3355377183342,0.025028497,42.84533875800798,0.025507575,0.9092137915711415,0.027496792,1.0468464,15.5487995,0.1665,0.1345,0.0709,5251.1387,15.994366,14.947519,11361.26852161738,3.8231323,5466.010325053049,12.521685,8320.520241007482,13.608649,21.426731,-5.176556024555938,0.029687079,-20.792018671160704,0.028349314,,,0.95680374,1.5020086,,65.34299176410238,31
2129931942027348608,2129931942027348608,291.25622585103673,0.015428846,49.25892740711685,0.016517231,0.6691188929997507,0.016939932,0.76054,14.821727,0.1277,0.1087,0.0586,6023.806,15.122983,14.362443,22195.04904196402,5.853067,12196.179571975465,14.377665,14262.023280245403,14.168958,10.04504,2.7845087729333144,0.022919774,-9.6513908010045,0.021979587,,,1.0031904,1.5702769,,69.56848082204364,31
2117317588719059968,2117317588719059968,281.3487500043445,0.00902388,44.29525291214755,0.01114157,2.5088144048437426,0.01058992,0.9783144,13.496163,0.059,0.048,0.0255,5270.387,13.904958,12.926643,75245.61978128208,32.626385,37448.43186386608,58.43071,53518.12679747664,73.58965,7.930803,-7.229351374695891,0.0125489645,3.2609988320666163,0.013986366,-22.88354,2.1932044,0.97577524,1.5180852,,66.90730225609956,31
1319243773843954304,1319243773843954304,245.28004755894742,0.012797542,31.577046575425125,0.016979631,19.287527448969872,0.019396864,2.8692713,14.804512,,,,,16.441551,13.57228,22549.76039715545,11.402748,3620.733062887482,14.139913,29528.827195172293,35.4176,60.606033,47.443478295415666,0.01636821,37.71216587640449,0.02344227,1.0877569,3.1367106,1.0321832,1.2509942,,52.023326742499634,31
1439069444391326208,1439069444391326208,263.89611450900287,0.013592161,61.67927672424114,0.014988611,69.89209281722201,0.015290988,2.0159492,9.174616,0.0021,0.0015,9.0E-4,3691.4407,10.190586,8.174637,4028100.184058062,1681.2769,1145994.4098807394,1679.1863,4258958.561054892,2958.8503,577.33276,261.92330205982597,0.015338845,-514.4990903096253,0.01759972,-15.529791,0.1640634,1.1368835,1.3442882,,84.44461220374356,31
1803475188714186368,1803475188714186368,303.4677912115789,0.010173551,13.388894666510701,0.009545531,32.587878933269494,0.01404626,1.9792309,10.5407715,,,,,11.53232,9.553089,1144559.0524072542,264.9834,333034.1140104521,217.60864,1196526.824756685,371.21945,422.35428,421.9208604731243,0.01441753,19.128958370148652,0.014653884,-68.132545,0.17696455,0.965645,1.3480968,,32.36132544300275,31
1334573817793362560,1334573817793362560,256.34637374627954,0.0073886127,33.01231999522879,0.008289224,6.1862524703442,0.009271734,1.2395849,12.358197,0.0682,0.053,0.0277,4718.594,12.905795,11.66621,214618.82763045488,39.240284,93993.70548696766,60.792057,170873.27810816388,85.05123,39.32812,-14.001717989278703,0.009461316,-36.751229819404344,0.011176405,-11.982991,0.70407456,0.98734593,1.4640685,,55.486544235337725,31
2009481748875806976,2009481748875806976,348.33773395483047,0.036793772,57.16966644274312,0.036190197,152.86400389732427,0.049440492,1.2163415,5.2318964,,,,,5.766576,4.5502343,1.521206499755695E8,87569.89,6.74196692357136E7,35107.0,1.1996776224912277E8,192450.66,2095.2073,2074.413511999184,0.050308358,294.4519772796575,0.04295604,-18.675009,0.119112626,0.99794143,1.4723564,,54.541387027733165,31
2133599775377340672,2133599775377340672,286.24344650669525,0.008900243,50.04036753869247,0.008873586,1.135090825854849,0.009335365,0.7487316,13.347803,0.0319,0.027,0.0145,6028.878,13.642167,12.8934355,86263.19406260637,15.643034,47703.4632483442,44.713226,55180.278300483624,25.97262,4.442295,3.0696860683208893,0.011384715,3.211076587167458,0.011357798,2.1045756,2.1808906,0.9859776,1.5712663,,71.53563681148711,31
2077298148611950976,2077298148611950976,294.2020483939562,0.017284086,40.66332877209653,0.02174531,1.52066511974186,0.02143723,1.2289133,15.221063,0.135,0.1055,0.0552,4795.3755,15.762566,14.533652,15364.620131724274,3.798344,6766.911560938491,10.365877,12181.396764336696,10.506808,21.397284,-11.610018351902816,0.022610985,-17.973625906615958,0.025536573,,,0.9455966,1.4656578,,60.81583058172018,31
2079692678777827712,2079692678777827712,296.435801484417,0.015897043,44.641536237936975,0.0167954,0.5529113357499341,0.018429872,0.9239273,14.819803,0.3224,0.2686,0.1445,5755.9126,15.190221,14.266294,22234.409518170014,5.591643,11463.795729852394,21.928385,15582.628581041603,15.368679,6.087389,-3.4243462600705703,0.019385545,-5.032907207596069,0.020280318,,,0.97012687,1.5318109,,63.91157373171107,31
2128298617506651904,2128298617506651904,292.6780477136592,0.008529695,46.726680279251546,0.010793536,1.2709244203346268,0.010081156,0.6885109,13.0856495,0.0442,0.0379,0.0204,6159.9136,13.354265,12.665754,109821.40812489823,25.051214,62188.6141739043,37.90392,68054.44326889684,24.735682,8.635909,-5.2262543051156864,0.011873337,-6.874968538521639,0.013159066,-26.799055,2.7783706,1.0639232,1.5863438,,66.86741963564047,31
2100369888287148416,2100369888287148416,286.9171497358011,0.016125752,38.87221224364682,0.018671282,1.3856578224028646,0.01978227,1.1151657,15.182048,0.1675,0.1338,0.0709,5024.4155,15.660285,14.545119,15926.766679506309,3.8818812,7435.378183570997,11.105651,12053.427683672475,8.989237,4.64028,4.624071871213433,0.020468557,-0.3875003606308731,0.023295864,,,0.99297005,1.4900426,,60.70190443168226,31
