dr3_id,Av_b,Av_err_b,AG_b,AG_err_b,ABP_b,ABP_err_b,ARP_b,ARP_err_b,Av_e,Av_err_e,AG_e,AG_err_e,ABP_e,ABP_err_e,ARP_e,ARP_err_e
3946945413106333696,,,,,,,,,0.0015736210908497612,0.0004765491985585631,0.0012415870406804615,0.00037607963248890416,0.0015767683330314608,0.00047762933482093766,0.0009268628225105093,0.00028075804674468477
1696798367260229376,,,,,,,,,0.0014209856621222932,0.0003046291865802703,0.0011211576874144895,0.00024045741775545915,0.0014238276334465377,0.00030540047329684106,0.0008369605549900307,0.00017951659735108793
1920113512486282240,,,,,,,,,0.0001785895288396322,7.748713704318816e-05,0.00014090713825446981,6.114387179702144e-05,0.00017894670789731147,7.765217489919259e-05,0.00010518923248654336,4.564551395856773e-05
1385293808145621504,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2135550755683407232,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4342464209753404416,,,,,,,,,0.1576230969725159,0.017413902219513132,0.12436462351131504,0.013762153837035529,0.15793834316646094,0.017483580481212384,0.09284000411681186,0.010276148552992614
1756741374681702784,,,,,,,,,0.0006407874139443979,0.00015513505593291874,0.00050558126960213,0.00012244348447534587,0.0006420689887722868,0.0001555100292783491,0.00037742378681325034,9.141049036198009e-05
6243841249531772800,,,,,,,,,0.4034709018715665,0.022259340070008553,0.31833854157666597,0.017678102738369672,0.4042778436753096,0.02248196532358269,0.23764436120235263,0.013209709307223571
1603662211901473408,,,,,,,,,0.0022945241060059614,0.0006961364487965472,0.0018103795196387036,0.0005493714635362379,0.0022991131542179732,0.0006977136194679307,0.0013514746984375112,0.00041012707797406046
3830897080395058048,,,,,,,,,0.00013242371444762,5.774607154616345e-05,0.00010448231069917218,4.556646127059537e-05,0.00013268856187651523,5.786898840080981e-05,7.799756780964817e-05,3.401656050906534e-05
5040416186560252416,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4963614887043956096,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5183875103632956032,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
