GaiaDR3_ID,st_age,st_ageerr1,st_ageerr2
1847742385838236416,1.32,0.35,-0.25
1864885215233116032,3.1,0.3,-0.3
1869054868256849920,6.6,1.8,-2.4
1869489729418662528,4.11,0.66,-0.52
1891930796082743680,10,NULL,NULL
1896138833241139584,6,3,-2.5
1900293230549817856,1.8,2.9,-1.3
1926476042681491712,0.03,0.12,-0.01
1950477552581609984,6.1,3.7,-3.7
1958584565350234752,6.6,6.6,-4.6
1978027916667478656,2.33,0.71,-0.56
1986772848034988544,0.12,0.01,-0.01
2005028761147595648,3.2,1.9,-1.6
2009481748875806976,11,2.2,-2.2
2009481748875806976,12.46,NULL,NULL
2016655237613545728,6.2,0.5,-0.5
2024845946447691264,2.76,2.24,-0.95
2029433521248546304,11.3,3.5,-3.5
2032764938419327616,2.5,0.5,-0.7
2033123654092592384,0.6,NULL,NULL
2034047656176989952,6.35,1.85,-1.85
2035963417721248128,4.4,2.2,-2.2
2042653052618584960,5.72,3.37,-2.65
2048174967505679488,2.37,0.77,-0.56
2048464796210957440,2.55,1.95,-1.95
2048563889694771200,0.6,NULL,NULL
2050231848829944320,6.2,3.5,-2.8
2051034251798891904,8.71,4.14,-5.82
2051103314872392192,4.37,5.38,-2.68
2051106987063242880,1.9,1.7,-1.7
2051669906960994304,3.8,2.28,-2.08
2051721480924900224,2.45,0.997,-0.791
2051722855314502400,3.72,1.99,-2
2051748659478657152,4.07,2.72,-2.3
2051807620790721792,3.89,2.96,-1.91
2051815759742763264,4.47,5.74,-2.68
2051865551307698688,4.47,3.91,-2.47
2051866238502437632,2.9,1.6,-1.3
2051896440713570048,4.07,5.97,-2.41
2051897265347291520,4.37,3.1,-2.56
2051905030647886976,3.63,5.57,-2.02
2051926226306177792,3.98,4.07,-2.33
2051933102555095936,7.1,4.4,-4.6
2051933343073295232,2.88,1.1,-1.11
2051937019565051520,3.09,1.42,-1.4
2051937638040407808,3.24,0.952,-0.62
2052069201482198784,3.72,3.68,-2.02
2052074389802779904,4.57,6.1,-2.78
2052085934674652544,2.69,1.32,-0.958
2052086072113643264,3.39,1.6,-1.76
2052117923590073600,7,3,-4
2052124692458750976,4.68,6.11,-2.9
2052136752727511552,1.35,0.33,-0.19
2052140601018026496,4.47,4.18,-2.71
2052144621107902208,4.27,3.6,-2.5
2052168466766597120,3.09,1.09,-0.61
2052203273182353920,4.47,4.82,-2.76
2052212996988534656,3.8,4.97,-2.26
2052232410241029248,4.27,3.92,-2.54
2052234368740841600,3.63,1.79,-1.91
2052356964290178048,4.17,5.51,-2.54
2052388643966743424,2.63,0.959,-0.944
2052392835854583936,2.51,2.14,-0.96
2052397886736075264,2.24,0.85,-0.668
2052435819888356864,4.27,3.37,-2.54
2052450079180319744,4.27,2.83,-2.32
2052456263933727744,4.47,5.7,-2.75
2052480728067657600,2.88,1.22,-1.17
2052548107508601216,4.27,3.11,-2.31
2052559480582595456,4.37,4.19,-2.56
2052567623840745216,4.07,3.6,-2.37
2052568585913107072,2.95,1.29,-1.2
2052582432887909376,5.4,3.4,-2.8
2052585044228107008,8.13,2,-3.37
2052603289249806976,2.82,1.83,-1.2
2052616586468670976,3.31,2.62,-1.56
2052629162133190784,2.14,0.47,-0.38
2052643696302706944,4.37,5.68,-2.73
2052653729346427136,6.46,3.14,-3.87
2052662422359019904,4.79,3.44,-2.8
2052666992204482816,5.25,5.95,-3.3
2052691044021500032,4.79,5.9,-2.86
2052695678282371840,4.57,3.67,-2.66
2052717466660745984,3.39,2.04,-1.71
2052721692908731904,4.27,3.3,-2.48
2052722689341030656,2.82,4.7,-1.29
2052724029370990208,5.01,1.69,-2.68
2052736123999181824,3.39,4.09,-1.78
2052747119115620352,5.05,NULL,NULL
2052747119115620352,6.6,0.9,-0.9
2052754540819149568,4.68,6.44,-2.9
2052767528800649984,3.31,2.23,-1.56
2052775191022506112,4.57,6.17,-2.93
2052826318309391104,3.89,6.23,-2.2
2052827207364859264,0.105,0.01,-0.01
2052852912747829760,3.72,2.8,-1.92
2052865419692829056,3.55,1.87,-1.94
2052874318864239616,3.02,1.21,-1.3
2052881912366613376,5.761,1.019,-1.019
2052912492534229504,4.17,2.77,-2.22
2052941389074846336,4.07,2.31,-2.11
2052956541719356416,3.31,1.63,-1.55
2052965337812644352,4.47,6.03,-2.7
2052968773786517760,2.63,0.845,-0.93
2052973309272223232,3.09,5.5,-1.55
2052983514114840192,3.8,2.6,-2.11
2053067935992494848,3.63,5.26,-1.91
2053124285963894784,4.57,5.52,-2.9
2053165655089863808,3.55,2.27,-1.83
2053177406120368896,1.51,0.571,-0.3
2053183453434348672,2.24,0.816,-0.62
2053235577156249088,4.47,2.39,-2.43
2053284398043177216,2.51,1.13,-0.85
2053286429569716992,4.17,3.23,-2.44
2053438127812903296,1.86,1.01,-0.516
2053454478745972480,2.88,6.07,-1.37
2053457644144430848,2.34,2.35,-0.892
2053546910744629504,7.59,4.89,-4.97
2053550106200274688,2,1.19,-0.624
2053552270863859712,3.8,0.95,-0.878
2053562475706063744,0.5,NULL,NULL
2053574639053629952,1.35,0.28,-0.19
2053626934575934464,2.19,0.34,-0.25
2053636452223709696,3.8,1.87,-2.04
2054523105274216704,1.6,0.1,-0.1
2056007995732413312,2.9,0.9,-0.8
2060523518197844608,0.264,0.149,-0.15
2064327278651198336,0.3,NULL,NULL
2066437688140905600,1.9,NULL,NULL
2070115588901082368,5,3,-4
2073153024144692736,1.95,0.705,-0.474
2073155184495069184,1.32,0.28,-0.19
2073176491847171840,3.72,3.3,-2
