GaiaDR3_ID,st_age,st_ageerr1,st_ageerr2
2100070958564495488,4.79,6.7,-3
2100073393808483328,4.37,5.96,-2.7
2100148542853587840,4.68,5.99,-2.69
2100148611573075200,3.89,2.26,-2.1
2100214788429438336,5.01,6.05,-3.2
2100216609495590912,4.47,4,-2.76
2100219392634493568,4.37,1.55,-1.95
2100232689851871488,3.89,2.6,-2.2
2100243616248608896,2,0.8,-0.8
2100247945575646336,4.47,4.47,-2.74
2100258047339711488,2.9,8.1,-0.2
2100265950078767232,2.51,0.948,-0.848
2100279865772807424,4.79,6.13,-2.94
2100303539632796032,2.82,1.39,-1.03
2100309827464993536,4.68,5.94,-2.92
2100369888287148416,4.9,5.92,-3.07
2100392428275714688,2.56,1.06,-1.06
2100405381897402496,4.79,5.71,-2.88
2100408508633587712,1.55,0.685,-0.366
2100418850915010432,4.17,1.16,-1.8
2100559554044410624,2.82,0.804,-1.1
2100597143598879616,2.69,1.9,-1.19
2100623600597189504,3.09,1,-1.3
2100643632324807296,3.55,2.09,-1.83
2100653527927414272,4.27,3.37,-2.48
2100698745343821312,4.17,4.4,-2.4
2100906140725803392,1.35,0.47,-0.24
2100959501399885696,7,4,-4.2
2100993929859129600,3.02,1.08,-1.3
2101000836165429504,5.5,5.78,-3.3
2101006883479557504,3.55,1.52,-1.82
2101035367703145088,3.24,1,-1.3
2101074331646054656,3.31,1.31,-1.51
2101087044750770688,4.9,4.9,-3.15
2101093092063293824,3.09,0.65,-1.21
2101117418758956416,5.25,2.18,-2.7
2101123534792103168,3.02,1.36,-1.3
2101136385334437632,3.09,1.37,-1.32
2101146757674573568,1.86,2.8,-0.565
2101170951231556864,2.57,5.92,-1.15
2101175933393051008,6.2,2.7,-2.2
2101184111011462144,5,4,-4
2101186168296277376,5,4,-4
2101191326556650368,4.47,1.92,-2.27
2101229019187047040,4.07,2.97,-2.3
2101233898269847296,4.79,6.13,-2.95
2101234688543862016,4.57,6.1,-2.76
2101241285613832192,3.55,1.48,-0.781
2101242934881164416,3.98,5.61,-2.24
2101248088842146688,1.91,1.13,-0.611
2101249188353780480,4.9,6.22,-3.09
2101298357139960576,3.02,1.21,-1.26
2101303889057595136,4.9,4.94,-3.14
2101305469605609088,4.37,6.25,-2.69
2101307290671768704,3.16,6.57,-1.64
2101318556367845888,4.07,2.47,-2.3
2101340791416961664,4.79,4,-3
2101378312251177472,4.37,2.98,-2.55
2101379205604338688,0.105,0.01,-0.01
2101380545634324096,2.34,0.45,-0.626
2101410850923823488,4.79,5.95,-2.98
2101422911191267968,5.37,4.84,-3.62
2101449265111030912,7.76,4.71,-5.06
2101473385648356608,4.37,6.03,-2.51
2101476065707700480,4.68,6.83,-2.95
2101480188876308480,4.37,3.74,-2.54
2101486923385239808,11.23,0.91,-0.99
2101493898411455360,3.55,2.45,-1.93
2101495685117920128,4.07,3.85,-2.37
2101507470508342016,5.37,1.6,-1.58
2101513139864999424,4.07,2.72,-2.3
2101525749889208576,3.8,5.19,-2.12
2101594538086364032,4.47,6.32,-2.83
2101644600223555328,4.17,6.04,-2.55
2101649891623535104,3.63,1.81,-1.77
2101650647537529088,4.57,6.27,-2.8
2101651781408908160,4.07,3.04,-2.33
2101670026430316416,4.07,6.07,-2.34
2101670713625146112,2.88,0.55,-0.55
2101675661427506432,4.37,1.16,-1.7
2101689061725421312,1.7,0.981,-0.459
2101711155037463040,1.86,1,-0.568
2101719263935952768,2.63,0.42,-0.794
2101733244046205568,6.46,NULL,NULL
2101737474597174016,4.47,4.08,-2.7
2101746579928077440,4.79,5.83,-2.76
2101760014585798528,4.57,6.02,-2.85
2101768089124657664,3.63,2.86,-1.81
2101775579545559296,4.57,5.85,-2.61
2101796092309354624,3.89,2.58,-2.16
2101797535418431104,3.98,4.09,-2.33
2101798634930170240,4.9,6.14,-3.01
2101875497665518080,2.75,0.919,-1.02
2101898205154183296,4.9,5.84,-3
2101930164010053120,4.17,3.16,-2.4
2101938650863923712,3.16,4.32,-1.62
2101941434002832000,4.68,6.11,-2.76
2102038912581334656,12.02,1.8,-2.3
2102070660978313472,3.16,1.06,-1.29
2102096774379579520,3.09,6.26,-1.53
2102110174677569664,3.66,NULL,NULL
2102111102390564864,2.82,5.83,-1.32
2102113267054010880,4.79,6.38,-2.91
2102119176929154304,2.9,0.7,-0.7
2102152815113208192,3.8,2.6,-2.1
2102161989163432832,4.68,5.87,-2.79
2102170235500805376,4.27,4.42,-2.6
2102228887573941760,4.47,6.2,-2.74
2102244967931917184,3.89,5.21,-2.16
2102247132595492608,2.34,5.38,-0.93
2102249400337907456,5.37,6.03,-3.06
2102321933746075776,4.27,3.55,-2.52
2102410719308323584,4.37,6.03,-2.62
2102411578301719808,4.37,4.03,-2.63
2102431713108873216,4.17,3.58,-2.47
2102436351673656704,4,1,-2
2102468134431912064,4.47,2.26,-2.43
2102511874378223360,3.16,4.53,-1.59
2102518574527334016,2.88,0.98,-1.16
2102530188118854656,4.79,4.79,-3.12
2102530703514980864,2.4,0.706,-0.766
2102548708017562112,5.6,4.5,-3.5
2102548708017562112,7.6,3.7,-3.7
2102600488143944192,1.41,0.546,-0.28
2102601381497162240,4.68,5.89,-2.87
2102648832296149888,4.27,3,-2.5
2102700131386216576,9.7,3.7,-3.5
2102711882417133952,4.17,3.03,-2.47
2102730157496733952,4.47,3.61,-2.7
2102794517586604288,4.27,5.8,-2.48
2102814721113340928,3.55,1.93,-1.79
2102816404740404224,2.09,5.26,-0.734
2102865436087077632,4.68,6.47,-2.93
2102877015319104640,7.59,1.7,-2.06
2102899314789524480,4.79,6.1,-3.05
2102928726723805568,3.31,1.21,-1.44
2102974528255171968,4.27,2.22,-2.43
2102974833192340224,1.38,0.26,-0.19
2102976383681783552,3.31,1.6,-1.6
2102983496146969856,4.57,5.71,-2.84
2103014626070505344,7,4,-4
2103062523544455296,3.63,1.88,-1.88
2103078397743762432,3.09,1.1,-1.36
2103117666624517888,1.7,0.23,-0.25
2103377980301947264,4.37,5.75,-2.62
2103392720630278656,6.31,2.1,-2.9
2103399695656782208,3.47,2.87,-1.79
2103452266056715392,1.74,0.543,-0.407
2103502465633672320,4.57,6.05,-2.8
2103516759284836992,2.95,2.41,-1.43
2103567611698320896,4.07,4.54,-2.3
2103572731299093376,4.47,6.05,-2.71
2103578400656053632,3.47,4.22,-1.79
2103579397088495616,5.01,6.36,-3.26
2103628462794226304,4.17,5.36,-2.49
2103644611871388032,4.47,6.1,-2.69
2103645814462282752,3.47,4.81,-1.85
2103712163117363200,4.47,6.27,-2.77
2103714637018491136,2.45,5.25,-1.05
2103725219818080640,4.27,5.05,-3
2103728312194385792,4.37,5.6,-2.65
2103730579937168128,3.24,1.8,-1.52
2103737241426734336,4.68,6.36,-2.98
2103741437614605312,4.68,6,-2.84
2103743018162573952,3.8,2.49,-2.07
2103785516859681152,4.17,4.19,-2.45
2103787101707694464,4.07,3.64,-2.31
2103794420332069632,5.01,6.2,-3.1
2103799368134289024,4.07,6.04,-2.43
2103871317426712448,1.3,0.6,-0.2
2103882548762598144,5.37,1.1,-0.96
2103885782875978880,4.27,3.46,-2.5
2103904302775007872,2.75,0.53,-0.48
2103927495598786304,4.68,6.3,-3.03
2103960721465412864,2.88,1.02,-1.23
2104031227648002944,5.62,5.24,-3.22
2104037962156847744,2.95,1.36,-1.26
2104054832788419072,11.75,2.4,-7.41
2104065209430717568,3.98,5.66,-2.23
2104078025612319360,2,1,-1
2104094209049086976,4.79,5.61,-2.99
2104106647274122880,2.88,1.09,-1.13
2104140349880122368,4.9,5.92,-2.97
2104156984291199360,4.47,3.42,-2.66
2104168288644696320,4.27,3.62,-2.5
2104172854190854528,4.79,2.31,-2.64
2104245357537867008,4.68,5.92,-2.8
2104251370492901760,4.47,6.27,-2.72
2104353590712705152,3.31,1.62,-1.6
2104354690224334592,4.17,4.64,-2.45
2104452752917443584,2.51,5.32,-1.1
2104527554068149120,3.47,2,-1.8
2104530027969874944,5.13,4.6,-3.36
2104675781979819776,4.4,0.8,-0.7
2104704815958848000,3.98,5.93,-2.26
2104705193915993216,4.07,2.83,-2.01
2104710176078205440,3.55,2.37,-1.87
2104727081069413376,3.02,1.58,-1.39
2104755256054840192,4.47,5.65,-2.74
2104759585381348608,4.68,4.13,-2.88
2104822188824798848,4.9,6.12,-3.1
2104875377699739648,4.57,6.05,-2.88
2104875755656860032,3.72,3.08,-2.04
2104890633423618048,3.39,1.39,-1.58
2104972581400204672,3.31,1.45,-1.52
2105000687666286592,4.17,2.47,-2.3
2105091878412164352,3.98,2.6,-2.27
2105095348745153536,5.25,5.82,-3.22
2105106687459103488,3.39,6.1,-1.76
2105151526917259520,3.16,4.49,-1.6
2105168775506130048,4.37,4.26,-2.67
2105192999121723392,3.55,1.77,-1.81
2105221139747765504,5.01,6.23,-3.24
2105262886829784960,2.82,2.14,-1.32
2105273705848965888,4.47,6.15,-2.82
2105274977158196480,1.66,0.4,-0.31
2105291955168605440,2.75,0.868,-1.06
2105327723655307648,5.01,5.8,-3.03
2105343799713595904,4.57,3.34,-2.58
2105358166383528192,3.16,4.64,-1.56
2105362903731391744,2.82,1.97,-1.5
2105415302330571008,5,NULL,NULL
2105448841733970432,10,3,-3
2105456160358298880,3.89,2.33,-2.19
2105463135385330944,4.9,6.17,-3.05
2105474852056221824,4.57,6.37,-2.74
2105478425469064064,4.68,4.38,-2.91
2105491997566014336,4.9,6.17,-3.14
2105526799680172032,8.51,3.29,-5.27
2105528350169042560,5.13,6.07,-3.17
2105552127108243456,4.17,4.62,-2.5
2105554394851020160,4.27,5.69,-2.67
2105558930336570496,5.13,6.38,-3.15
2105597825559486336,3.63,1.79,-1.9
2105604800586437760,4.57,6.07,-2.76
2105618029085927680,4.47,6.42,-2.74
2105663727538050688,6.17,2.09,-3.36
2105673726221976576,3.39,1.57,-1.6
2105694410784851072,3.63,5.34,-1.92
2105726605858883456,4.68,6.19,-2.85
2105752581821148544,3.24,6.56,-1.66
2105847174181385600,3.8,3.26,-2.12
2105848204973533696,4.68,5.3,-2.96
2105848204973534592,4.57,5.5,-2.88
2105886790959182976,3.98,5.95,-2.27
2105915343901864832,3.89,5.81,-2.33
2105921803532722432,4.27,3.06,-2.48
2105933417124075264,4.79,6.46,-3.08
2105964306529014400,4.17,6.16,-2.45
2105969082532659328,3.63,6.39,-1.96
2106018801073572224,3.72,5.7,-2.1
2106043093408840960,4.57,6.4,-2.88
2106046632461881856,5.25,5.79,-3.24
2106132875405444352,4.68,6.47,-2.98
2106208363750121728,3.24,1.36,-1.46
2106235301785454208,0.036,0.01,-0.008
2106246984096567552,2.69,4.76,-1.31
2106279179170588288,2.88,6.53,-1.42
2106293816419205504,3.55,5.12,-1.97
2106303505865370752,2.09,1.48,-0.699
2106306082845810048,4.47,4.78,-2.7
2106311477324720384,4.47,5.37,-2.73
2106333879874204288,4.68,5.75,-2.99
2106370541711607680,1.41,0.403,-0.25
2106374557504930944,4.79,5.35,-3.04
2106384010732717184,2.95,2.27,-1.37
2106406069684947840,1.58,0.776,-0.369
2106412082639238400,9.5,2.5,-2.7
2106414144223503360,4.9,6.25,-3.16
2106427750679026688,2.75,0.818,-0.988
2106432870280171136,4.27,4.9,-2.59
2106443453079518336,4.47,3.33,-2.63
2106444552591200768,4.57,5.71,-2.7
2106496607595412480,5.5,3.44,-3.39
2106520040936657536,4.17,3.4,-2.44
2106546978971754368,4.27,5.83,-2.56
2106595941599427072,3.31,1.55,-1.58
2106597487787652352,4.57,4.7,-2.81
2106617691313437568,3.24,6.01,-1.7
2106618687745888768,4.79,6.08,-2.87
2106674071344722688,7.6,3.4,-3.1
2106679126525940096,5.01,5.63,-3.25
2106703212701656576,4.57,3.12,-2.7
2106705269988803072,5.63,NULL,NULL
2106710978002603904,4.27,1.84,-2.2
2106717678151463040,4.9,5.87,-2.98
2106735064179220480,4.57,5.7,-2.87
2106747876063966976,4.17,6.28,-2.44
2106775024555031936,1.6,0.04,-0.04
2106784610922074496,1.82,1.12,-0.581
2106805501643509888,4.47,5.86,-2.81
2106821925598401152,2.45,1.76,-1.02
2106891671567353728,4,0.8,-0.8
2106904148451706752,2.76,0.54,-0.54
2106904698207543936,4.68,5.75,-2.82
2106958363820214016,2.57,1.11,-1.32
2106981831520836736,1.91,0.34,-0.25
2106988158011587072,4.37,2.8,-2.57
2106996095111385728,4.37,5.89,-2.74
2107001283431633408,7,4,-4
2107016126838707200,4.47,5.8,-2.78
2107026778358609792,3.63,1.79,-1.98
2107084399639196544,3.89,5.97,-2.2
2107102988257870336,4.27,3.94,-2.54
2107111749991684992,3.72,6.26,-2.08
2107186134525176960,4.17,6.1,-2.58
2107236613280607104,2.19,0.757,-0.678
2107240324132394496,3.55,5.12,-1.86
2107243072911617024,1.48,0.654,-0.326
2107265028783828736,3.98,6.07,-2.42
2107279803471399168,4.68,3.43,-2.87
2107285644626768640,4.37,6.1,-2.57
2107313098057987712,4.57,5.9,-2.76
2107342716152550272,2.88,0.3,-0.31
2107385081710305152,5.25,5.57,-3.08
2107406178588473728,4.47,5.44,-2.7
2107434834610481920,2.49,0.38,-0.38
2107492421531881856,4.37,0.78,-2
2107547603271136896,2.57,5.58,-1.1
2107557464516077184,3.98,3.3,-2.28
2107563271311787136,4.9,6.17,-2.94
2107568970730102272,2.63,0.774,-0.948
2107596978215473024,3.55,5.91,-1.96
2107607354856794880,3.98,5.48,-2.27
2107617246162706048,4.47,5.81,-2.64
2107617903296016768,3.72,2.24,-2.02
2107622335702262400,4.57,6.44,-2.85
2107644188496163200,7.94,1.3,-1.99
2107644527795544832,3.09,4.2,-1.5
2110106372987465216,4,0.8,-0.8
2115776451371641984,4.4,1.9,-1.2
2116733198288204288,8.71,3.91,-4.69
2116740104595955328,4.68,5.77,-2.78
2116750034560253184,5.01,3.27,-3.07
2116961690548889088,4.17,3.54,-2.46
2117125655219423744,4.27,3.2,-2.51
2117151420726319872,3.8,0.97,-1.39
2117323498594316544,4.07,4.94,-2.43
2117331813650826624,7.2,3.6,-3.9
2117344732912435968,1.82,2.61,-0.53
2117396341239154560,4.9,2.57,-2.68
2119130163697443840,1.7,0.42,-0.359
2119147897620835840,4.79,4.81,-3.02
2119194936102585472,3.63,6.1,-1.99
2119201533172444160,5.01,5.85,-2.85
2119507506642066176,3.89,4.6,-2.3
2119511080054847616,7.76,1.9,-2.88
2119583201145735808,1.1,3.6,-0.5
2119584163218439040,4.68,5.77,-2.82
2119602202081351168,1.41,NULL,NULL
2119617320366308736,4.47,4.91,-2.79
2119646801021958272,4.37,3.88,-2.61
2119706690045629824,4.17,2.85,-2.38
2119746375543622016,5.62,5.37,-3.16
2119809116425132160,4.47,6.17,-2.76
2125705488052032640,4.27,6,-2.57
2125709405062046976,2.82,1.04,-1
2125713940547834496,2.69,2.04,-1.17
2125716891183392640,6.03,2.39,-3.35
2125730982977974016,4.9,6.02,-2.99
2125758402049480704,3.72,2.76,-1.95
2125777643502580864,7.08,2.4,-3.55
2125785438864450048,4.17,4.62,-2.49
2125790322246812672,2.69,2.34,-1.09
2125871960984455552,4.37,6.25,-2.58
2125880825797124352,4.17,2.94,-2.37
2125888419299436800,4.37,5.47,-2.72
2125896459478159360,1.58,0.447,-0.28
2125913531966017408,2.25,0.42,-0.42
2125960402948600704,4.57,6.02,-2.88
2125962155298608000,3.98,3.54,-2.27
2125965007156694528,4.9,5.89,-3.05
2125972321478224896,6.76,2.09,-3.44
2126012900332317056,4.9,6.22,-3.01
2126057774150666368,4.57,6.27,-2.81
2126073961886389888,4.57,5.9,-2.79
2126099078855696256,3.09,1.31,-1.34
2126102411750601088,3.24,2.43,-1.58
2126110795526604928,4.07,4.4,-2.33
2126163675162475136,2.69,1.1,-0.966
2126166733179219072,4.9,4.56,-3.11
2126191334752646016,3.8,1.8,-1.83
2126198756455621376,3.09,1.73,-1.36
2126234215705936640,3.98,3.15,-2.31
2126237857838346368,4.07,2.15,-2.25
2126248505058677120,4.9,6.04,-2.98
2126342380162345344,5.37,3.92,-3.47
2126343823271448832,3.47,4.4,-1.8
2126360831342941696,2.88,1.67,-1.1
2126373303927596160,3.89,5.38,-2.16
2126432196518051200,4.37,6.06,-2.67
2126432677554353280,5.25,2.37,-2.8
2126454633427425664,4.27,4.36,-2.52
2126457313486865792,2.51,1.08,-0.829
2126508676995012352,4.27,0.6,-0.69
2126509368492076928,3.55,2,-1.81
2126514556811478144,4.27,3.62,-2.34
2126518783059463168,3.2,9.6,-2.3
2126524001437900928,4.47,5.79,-2.8
2126537234238972544,4.17,4.83,-2.48
2126556132093765888,4.5,0.5,-1
2126563450717837056,4.47,6.3,-2.69
2126569051355142656,3.4,3.1,-2.2
2126577881808038016,4.47,5.72,-2.78
2126579050039312640,4.17,2.78,-2.41
2126580149550929280,3.72,2.09,-1.93
2126597054542193536,3.16,2,-1.4
2126601108991279872,5.84,NULL,NULL
2126604991642285312,3.09,1.22,-1.36
2126615024685005568,3.72,0.91,-1.03
2126632994828732032,2.63,0.64,-0.88
2126633166627436928,9.3,3,-3
2126639557538793088,4.07,3.96,-2.37
2126643543268551936,4.47,6.3,-2.84
2126648731589350272,4.9,6.3,-3.07
2126680651786377984,4.68,5.72,-2.94
2126684019040772480,4.47,4.22,-2.7
2126749714860677632,2.24,0.692,-0.575
2126773904116001536,2.95,5.66,-1.42
2126801563705846528,2.51,1.36,-0.991
2126806992544494720,2.88,0.874,-1.09
2126820324123177472,3.89,5.68,-2.2
2126835717285958912,4.47,6.15,-2.66
2126865575897687168,2.95,1.47,-1.22
2126870351901388672,3.47,5.26,-1.86
2126870661139070080,4.07,4.17,-2.39
2126878048483137152,3.39,2.53,-2
2126890417989112832,4.27,6,-2.5
2126912305142208384,7.5,2,-2
2126944603296783232,3.89,2.76,-2.18
2126970579257130112,4.57,4.74,-2.78
2126979031752904192,2.82,0.888,-1.07
2126984220073270784,3.89,3.61,-2.2
2126985280924750720,4.37,2.75,-2.52
2127008611187043456,4.9,1.83,-2.7
2127019915540964224,3.98,1.57,-2.01
2127020229079881856,3.09,2.2,-1.44
2127065652653876992,4.17,3.04,-2.5
2127115783511206016,1.78,2.68,-0.505
2127132821641254272,8.71,3.26,-4.95
2127136605512921600,5.01,4.24,-3.22
2127139491730929536,4.68,5.42,-2.94
2127190000546917632,2.82,0.923,-1.03
2127259505997243648,2.88,0.927,-1.14
2127307888808670976,4.57,6.17,-2.88
2127340290041707520,4.68,6.21,-2.85
2127355923723254272,4.27,0.74,-1.03
2127359737653864832,4.47,3,-2.38
2127382793038824832,4.68,5.89,-2.99
2127396880530950272,2.82,0.914,-1.18
2127412273694062848,3.55,2.09,-1.83
2127422890853328128,3.39,0.6,-1.04
2127431274629643008,4.57,5.83,-2.7
2127432099262972416,4.57,4.12,-2.85
2127452543307810432,4.79,6.08,-2.95
2127461236320786688,3.72,5.26,-2.1
2127518891962700672,4.57,4.94,-2.83
2127625956907154048,4.57,5.76,-2.84
2127688938307214592,2.45,1.78,-1.01
2127698215436676864,4.27,5.3,-2.67
2127712955764258048,4.57,6.27,-2.87
2127717182012104960,4.27,5.11,-2.6
2127721958016074368,4.68,6.47,-2.94
2127728520725956224,3.16,1.06,-1.4
2127749342727327616,3.72,3,-2
2127755733639236992,5.01,6.63,-3.15
2127766969273092864,3.8,2.11,-2.01
2127777307254217472,2.63,2.42,-1.12
2127781228564883456,4.17,5.56,-2.5
2127788822067165824,3.63,5.9,-1.96
2127802188005355648,4.07,3.92,-2.39
2127811705651952000,1.66,0.905,-0.46
2127812564645370880,4.57,6.12,-2.89
2127815657021840128,3.09,0.51,-0.81
2127828988601389440,4.68,5.96,-2.88
2127832768171557632,4.37,4.45,-2.61
2127836719542510848,4.17,3.1,-2.41
2127863623217139328,3.98,3.67,-2.27
2127904992341848960,3.24,4.3,-1.64
2127914132032810112,4.07,3.8,-2.32
2127941413665428992,4.57,1.39,-2.09
2127941757262806656,7,4,-4.2
2127953233416258432,4.47,5.7,-2.73
2127964572129949056,2.95,1.29,-1.19
2127973677460755584,2.82,1.02,-1.06
2127985806448631808,4.57,3.71,-2.76
2128008479575522432,4.17,4.83,-2.49
2128009617747394432,4.37,6.06,-2.59
2128039304560957952,4.79,6.4,-3
2128047069862606208,4.27,6.04,-2.6
2128074351495006720,4.37,3.56,-2.64
2128112181565948800,1,0.17,-0.17
2128125650583752832,3.98,3.3,-2.27
2128129876831370880,4.17,3.4,-2.41
2128141799661062400,4.68,6.65,-2.94
2128141834020807680,4.17,5.69,-2.49
2128145338713986688,4.68,6.21,-2.88
2128152897857003264,3.24,1.27,-1.42
2128155818434335616,4.79,3.18,-2.85
2128167225867000576,8,3,-3
2128190453050802048,4.57,5.83,-2.9
2128198836827103616,1,0.17,-0.17
2128204815421600512,3.31,1.5,-1.49
2128215909315876352,5.8,4.5,-3.6
2128223747637518208,4.47,5.65,-2.79
2128230615282091904,7.76,2.33,-3.53
2128242611132484736,3.55,0.84,-0.96
2128256286308183552,4.47,6.03,-2.67
2128256492468364160,4.9,3.19,-2.7
2128258141734121600,5.37,5.93,-3.3
2128262161823652480,3.63,2.56,-1.8
2128268380936413568,2.63,0.47,-0.555
2128273225659492608,11,2,-2
2128297208757012992,4.07,2.32,-2.29
2128298617506651904,2.04,0.656,-0.593
2128369501647063808,4.79,6.05,-2.9
2128374483807368576,3.55,1.92,-1.79
2128478044059903872,2.88,0.971,-1.15
2128481789271221632,4.27,6.06,-2.43
2128514431022374144,5.5,2.1,-2.94
2128525460498487424,3.47,1.8,-1.71
2128533466317652224,4.57,3.9,-2.8
2128593252262465280,4.07,5,-2.44
2128594420494169856,3.63,3.38,-1.98
2128776252229952000,3.63,1.83,-1.91
2128776801985730048,3.09,1.43,-1.42
2128836308750694016,3.89,2.01,-2.1
2128840912955018368,0.036,0.01,-0.008
2128893144058813056,5.13,5.64,-3.32
2128901871432519936,4.2,0.8,-1
2128927297638946176,3.89,2.16,-2.14
2128941660008727168,3.02,1.18,-1.3
2128970419109836160,3.24,2.75,-1.53
2129014330855767040,8.32,1.7,-2.86
2129025841368107136,4.47,6.27,-2.8
2129064874031303936,2.75,0.86,-1.02
2129099474286578048,3.55,1.99,-1.79
2129158435598210816,4.17,2.94,-2.43
2129158710476149376,3.8,2.18,-2.04
2129162283888866688,2.4,0.727,-0.685
2129164173675031936,3.89,3.4,-2.14
2129192692257862912,4.47,6.03,-2.68
2129215369685086080,4.37,3.93,-2.55
2129241586165440768,4.57,6.27,-2.7
2129250313538148736,4.57,5.85,-2.89
2129254333627658112,4.37,5.89,-2.71
2129295049918456960,3.39,1.6,-1.62
2129311576952316544,1.82,0.535,-0.44
2129330577887487744,1.95,4.12,-0.63
2129357580341124608,1.7,0.556,-0.459
2129369095153280000,6.17,1.89,-3.22
2129398988126072960,3.63,6.3,-2.03
2129464546506876928,4.07,1,-1.46
2129467364005869184,2.82,0.931,-1.1
2129495057954829952,4.27,0.8,-0.76
2129500383713365248,3.89,2.9,-2.15
2129503235571760128,3.47,1.94,-1.78
2129512821938786176,4.7,1.8,-1.6
2129527974583414400,3.16,1.4,-1.49
2129531822874416640,5.01,6.18,-3.22
2129550445852902656,6.84,0.9,-1.04
2129558760909448064,2.63,1.47,-1.06
2129576559253685632,2.75,6.28,-1.3
2129703552846891136,3.47,1.67,-1.72
2129725749238044928,4.57,6.19,-2.84
2129753580626548736,6.17,1.93,-3.25
2129753610686818176,3.16,1.3,-1.55
2129754847637288192,6.31,1.3,-1.86
2129755573491351040,4.27,4.96,-2.66
2129755779649780224,4.79,5.71,-3.06
2129758940745727488,4.79,6.2,-2.91
2129771615189858816,4.57,5.13,-2.82
2129776636010852224,4.07,4.56,-2.41
2129811201907123840,4.07,2.89,-2.27
2129820582115829504,4.07,2.96,-2.36
2129838139942109440,5.01,1.46,-1.9
2129847554510913536,4.27,2.88,-2.5
2129858412187969024,3.8,2.41,-2.11
2129861435845006208,4.37,6.37,-2.54
2129877825440176512,3.72,2.42,-1.99
2129894833511828864,2.45,1.66,-0.934
2129928884010551936,3.72,5.26,-2.08
2129939398090453504,4.79,5.86,-2.92
2129942765344872320,5.37,6.24,-3.54
2130024026126714880,2.29,1.64,-0.852
2130026255211751808,2.88,0.55,-0.952
2130033097097486336,2.82,1.78,-1.32
2130040450081573376,4.47,6.32,-2.76
2130115281293911552,4.57,5.18,-2.84
2130124528361197952,3.72,1.93,-2.01
2130131297229656832,3.98,1.14,-1.7
2130136176312202624,4.68,6.7,-2.9
2130168405747219072,4.68,5.96,-2.95
2130211080541825024,3.55,1.68,-1.8
2130236678547566976,4.37,2.51,-2.49
2130243550494676480,6.76,4,-4.14
2130269320298515712,4.57,4.06,-2.8
2130282789316404736,4.27,2.3,-2.4
2130309796070517888,4.07,3.64,-2.38
2130318420364920192,4.37,3.8,-2.66
2130321925058256384,3.39,1.5,-1.69
2130322955850385280,3.55,2.9,-1.87
2130326460543631360,4.37,3.2,-2.45
2130368310704421120,4.27,1.62,-1.57
2130376453962481024,3.02,1.13,-1.3
2130383394629702400,4.68,5.49,-2.93
2130389785541178752,4.57,6.44,-2.85
2130393938771375104,3.55,0.86,-1.32
2130397585201614080,1.48,0.724,-0.367
2130405728459739520,4.57,5.83,-2.71
2130427821771278976,4.57,6.05,-2.92
2130434384481265408,3.89,2.6,-2.16
2130544262626885120,4.79,6.59,-3.01
2130550520397270016,4.9,6.27,-2.98
2130552994298492288,3.98,4.95,-2.26
2130628757521503104,4.27,6.06,-2.48
2130633430445267584,4.9,5.92,-2.96
2130637038217686784,3.63,1.68,-1.86
2130652843697474816,1.26,0.33,-0.18
2130676478898097792,4.68,6.16,-2.91
2130684695176129536,4.9,5.87,-2.75
2130695518492411904,4.27,4.73,-2.56
2130762107666059136,4.27,4.71,-2.59
2130770766319922560,3.8,2.06,-2.06
2130777191591084032,4.27,5.53,-2.64
2130782895307640192,4.47,4.7,-2.78
2130815021663398144,4.79,5.83,-3.08
2130825020347168512,4.37,6.03,-2.65
2130857627739052928,4.9,6.1,-3.01
2130861785267379456,2.95,4.34,-1.4
2130866904868424320,3.24,6.01,-1.7
2130882023153533184,4.57,6,-2.72
2130911435088877056,4.37,6.4,-2.72
2130920471701096576,5.25,2.6,-3.02
2130932428889277824,3.89,5.55,-2.23
2130951464184187392,4.37,3.54,-2.6
2130959744881558272,5.3,1.4,-1.4
2130968334816264576,1.66,0.4,-0.32
2130969262529165184,4.68,3.12,-2.89
2130969503047357952,3.63,2.92,-1.96
2130976787311412352,4.27,5.5,-2.61
2130979570450326912,1.51,0.72,-0.36
2130980910480096384,5.5,2.61,-3.3
2130991596358782464,4.27,5.8,-2.65
2131048324286015104,4.27,5.87,-2.53
2131059628640021120,3.8,5.36,-2.2
2131136491375075328,4.27,2,-2.48
2131151094264000640,4.57,6.55,-2.88
2131169545443676032,4.37,2.14,-0.12
2131173187575866496,2.75,0.46,-0.8
2131178238457347712,4.68,5.87,-2.93
2131181055955983232,7.76,4.65,-4.9
2131184938606509952,2.88,1.36,-1.56
2131213903865285760,1.58,0.36,-0.27
2131216137248338304,8.42,NULL,NULL
2131228815991876736,4.07,3.53,-2.38
2131232114526859520,3.8,4.89,-2.1
2131238230560301440,3.89,6.02,-2.1
2131252627290713472,3.09,0.55,-1.03
2131294885469721984,4.37,5.16,-2.67
2131318426189833728,4.47,2.76,-2.41
2131432706679279104,3.02,2.64,-1.3
2131494313689868416,6.43,0.64,-0.61
2131495378841740800,4.9,3.87,-0.56
2131496856310537984,7.94,1.5,-2.47
2131505514964760832,3.98,1.41,-1.89
2131523450748131456,4.27,5.87,-2.61
2131523553827356544,3.8,4.77,-2.1
2131530769372738560,4.47,4.08,-2.7
2131541867567734528,4.17,6.42,-2.52
2131593269736776576,3.02,1.17,-1.3
2131593785132997632,6.68,NULL,NULL
