label,n_stars,pearson_r_log,mae_dex,delta_r_vs_C1,delta_mae_vs_C1
C1: latents (PCA4) only,1649,0.6972743520984217,0.5013102825601056,0.0,0.0
C2: Prot (gyro NLE) only,1649,0.3865238361605671,0.5403545547819188,-0.3107505159378546,0.03904427222181328
C3: latents (PCA4) + Prot,1649,0.6258299905580965,0.5409963819019495,-0.07144436154032519,0.03968609934184397
